id,name,category,type,description,terminal_code,airport_code,vibe_tags,slug,available_in_transit,rating,time_required,booking_required,price_level,opening_hours,location_description,image_url,coordinates,status,context
,Mother and Child,Attraction,,,SIN-T1,SIN,Explore,mother-and-child,false,,,false,,,,,,active,
,Saga Seed,Attraction,,,SIN-T1,SIN,Explore,saga-seed,true,,,false,,,,,,active,
,Travelling Family,Attraction,,,SIN-T1,SIN,Explore,travelling-family,false,,,false,,,,,,active,
,Electronics Computers by Sprint-Cass,Shopping,,,SIN-T1,SIN,Shop,electronics-computers-sprint-cass,true,,,false,,,,,,active,
,Fragrance Bak Kwa,Shopping,,,SIN-T1,SIN,Shop,fragrance-bak-kwa,true,,,false,,,,,,active,
,Garrett Popcorn Shops®,Shopping,,,SIN-T1,SIN,Shop,garrett-popcorn,true,,,false,,,,,,active,
,Gassan Watches,Shopping,,,SIN-T1,SIN,Shop,gassan-watches,true,,,false,,,,,,active,
,Giordano,Shopping,,,SIN-T1,SIN,Shop,giordano,true,,,false,,,,,,active,
,Guardian Health & Beauty - Level 2 Shop 16,Shopping,,,SIN-T1,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-16,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 16",,,active,
,Guardian Health & Beauty - Level 2 Shop 69,Shopping,,,SIN-T1,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-69,true,,,false,,"{""Monday-Sunday"":""06:00-00:00""}","Level 2, Shop 69",,,active,
,Gucci,Shopping,,,SIN-T1,SIN,Shop,gucci,true,,,false,,,,,,active,
,HERMÈS,Shopping,,,SIN-T1,SIN,Shop,hermes,true,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-T1,SIN,Shop,irvins-salted-egg,true,,,false,,,,,,active,
,Kaboom,Shopping,,,SIN-T1,SIN,Shop,kaboom,true,,,false,,,,,,active,
,Lindt,Shopping,,,SIN-T1,SIN,Shop,lindt,true,,,false,,,,,,active,
,Longchamp,Shopping,,,SIN-T1,SIN,Shop,longchamp,true,,,false,,,,,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 10,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-10,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 10",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 23,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-23,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 23",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 53,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-53,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 53",,,active,
