id,created_at,amenity_slug,description,website_url,logo_url,vibe_tags,booking_required,available_in_tr,price_level,opening_hours,terminal_code,airport_code,name
20000,2025-08-02T17:52:45.407Z,canopy-park-jewel-final,"Indoor park with nets, mazes and slides",,,"{Chill,Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Canopy Park"
20001,2025-08-02T17:52:45.408Z,foggy-bowls-jewel-final,"Mist-filled play areas for children",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Foggy Bowls"
20002,2025-08-02T17:52:45.408Z,hedge-maze-jewel-final,"Singapore's largest hedge maze",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Hedge Maze"
20003,2025-08-02T17:52:45.408Z,manulife-sky-nets-jewel-final,"Walking and bouncing nets suspended in the air",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Manulife Sky Nets"
20004,2025-08-02T17:52:45.408Z,mirror-maze-jewel-final,"Immersive mirror maze experience",,,"{Explore,Fun}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Mirror Maze"
20005,2025-08-02T17:52:45.408Z,rain-vortex-jewel-final,"The world's tallest indoor waterfall",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Rain Vortex"
20006,2025-08-02T17:52:45.408Z,shiseido-forest-valley-jewel-final,"Lush indoor forest with walking trails",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Shiseido Forest Valley"
20007,2025-08-02T17:52:45.408Z,changi-experience-studio-jewel-final,"Interactive digital attraction about Changi Airport",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Changi Experience Studio"
20008,2025-08-02T17:52:45.408Z,social-tree-jewel-final,"Interactive installation for photo sharing",,,"{Explore}",false,true,$$,{"Monday-Sunday": "24:00"},SIN-JEWEL,SIN,"Social Tree"
20009,2025-08-02T17:52:45.408Z,bengawan-solo-jewel-final,"Traditional Singaporean cakes and kueh",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Bengawan Solo"
20010,2025-08-02T17:52:45.408Z,tiger-street-lab-jewel-final,"Craft beer and local fare",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Tiger Street Lab"
20011,2025-08-02T17:52:45.408Z,din-tai-fung-jewel-final,"Renowned Taiwanese restaurant famous for xiaolongbao",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Din Tai Fung"
20012,2025-08-02T17:52:45.408Z,koi-th-jewel-final,"Premium Taiwanese bubble tea",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Koi Thé"
20013,2025-08-02T17:52:45.408Z,song-fa-bak-kut-teh-jewel-final,"Award-winning pork rib soup",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Song Fa Bak Kut Teh"
20014,2025-08-02T17:52:45.408Z,travelex-jewel-final,"Global foreign exchange services",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Travelex"
20015,2025-08-02T17:52:45.408Z,uob-currency-exchange-jewel-final,"Competitive rates for currency exchange",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"UOB Currency Exchange"
20016,2025-08-02T17:52:45.408Z,telecommunications-kiosk-jewel-final,"SIM cards and mobile services",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Telecommunications Kiosk"
20017,2025-08-02T17:52:45.408Z,trs-tax-refund-jewel-final,"Tourist refund scheme counter",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"TRS Tax Refund"
20018,2025-08-02T17:52:45.408Z,spa-express-jewel-final,"Quick massage and spa treatments",,,"{Chill,Comfort}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Spa Express"
20019,2025-08-02T17:52:45.408Z,kinokuniya-jewel-final,"Comprehensive Japanese bookstore",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Kinokuniya"
20020,2025-08-02T17:52:45.408Z,zara-jewel-final,"Spanish fast fashion retailer",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Zara"
20021,2025-08-02T17:52:45.408Z,eu-yan-sang-jewel-final,"Traditional Chinese medicine",,,"{Explore}",false,true,$$,{"Monday-Sunday": "06:00-23:00"},SIN-JEWEL,SIN,"Eu Yan Sang"
