name,slug,terminal_code,airport_code,category,amenity_type,description,location_description,vibe_tags,opening_hours,price_tier,image_url,collection_tags,unique_features,awards,instagram_posts_count,time_required,suitable_for_vibes,best_for,status
"Butterfly Garden","butterfly-garden-t3","SIN-T3","SIN","Attraction","Garden","World's first airport butterfly garden with over 1000 tropical butterflies in a landscaped environment","Terminal 3, Level 2 & 3, Transit Area","[""Explore"",""Chill""]","{""Monday-Sunday"":""24/7""}","Free","https://cdn.terminal.plus/images/sin/butterfly-garden.jpg","[""must-see"",""unique-feature"",""instagram-worthy"",""award-winner""]","[""World's first airport butterfly garden"",""Over 1000 butterflies"",""Educational corner""]","[""Skytrax Best Airport Attraction 2023""]",85000,30,"[""Explore"",""Chill""]","[""families"",""nature-lovers"",""instagram""]","active"
"The Slide @ T3","the-slide-t3","SIN-T3","SIN","Attraction","Entertainment","12-meter tall slide, the world's tallest slide in an airport","Terminal 3, Level 1, Public Area","[""Explore"",""Quick""]","{""Monday-Sunday"":""12:00-10:30""}","Free*","https://cdn.terminal.plus/images/sin/the-slide.jpg","[""must-see"",""unique-feature"",""instagram-worthy""]","[""World's tallest airport slide"",""12 meters tall"",""Free with $10 spend""]","[""Guinness World Record""]",120000,15,"[""Explore"",""Quick""]","[""families"",""thrill-seekers"",""instagram""]","active"
"Entertainment Deck","entertainment-deck-t3","SIN-T3","SIN","Entertainment","Gaming","Free gaming consoles including Xbox, PlayStation, and gaming PCs","Terminal 3, Level 2, Transit Area","[""Explore"",""Chill""]","{""Monday-Sunday"":""24/7""}","Free","https://cdn.terminal.plus/images/sin/gaming-lounge.jpg","[""hidden-gem"",""solo-friendly""]","[""Free gaming 24/7"",""Latest consoles"",""No time limit""]","[]",15000,60,"[""Explore"",""Chill""]","[""solo-travelers"",""gamers"",""long-layovers""]","active"
"Movie Theatre","movie-theatre-t3","SIN-T3","SIN","Entertainment","Cinema","Free 24-hour movie theatre showing latest blockbusters","Terminal 3, Level 2, Transit Area","[""Chill"",""Comfort""]","{""Monday-Sunday"":""24/7""}","Free","https://cdn.terminal.plus/images/sin/movie-theatre.jpg","[""must-see"",""unique-feature""]","[""Free 24/7 cinema"",""Latest movies"",""Comfortable seating""]","[""World's Best Airport Cinema""]",45000,120,"[""Chill"",""Comfort""]","[""movie-lovers"",""long-layovers"",""families""]","active"
"Rooftop Cactus Garden","cactus-garden-t1","SIN-T1","SIN","Attraction","Garden","Rooftop garden with over 100 species of cacti and succulents","Terminal 1, Level 3, Transit Area","[""Explore"",""Chill""]","{""Monday-Sunday"":""24/7""}","Free","https://cdn.terminal.plus/images/sin/cactus-garden.jpg","[""hidden-gem""]","[""Over 100 cactus species"",""Quiet rooftop location"",""Rarely crowded""]","[]",8000,20,"[""Explore"",""Chill""]","[""nature-lovers"",""photographers"",""quiet-seekers""]","active"
"Fish Spa","fish-spa-t1","SIN-T1","SIN","Wellness","Spa","Unique fish spa experience with Garra Rufa fish","Terminal 1, Transit Area, Near Gate D41","[""Comfort"",""Explore""]","{""Monday-Sunday"":""24/7""}","$$","https://cdn.terminal.plus/images/sin/fish-spa.jpg","[""unique-feature"",""hidden-gem""]","[""Only airport fish spa"",""Natural exfoliation""]","[]",25000,30,"[""Comfort"",""Explore""]","[""spa-lovers"",""unique-experiences""]","active"
"Snooze Lounge","snooze-lounge-t1","SIN-T1","SIN","Rest","Sleep Pods","Single sleep pods for solo travelers","Terminal 1, Level 3, Transit Area","[""Comfort"",""Chill""]","{""Monday-Sunday"":""24/7""}","$$","https://cdn.terminal.plus/images/sin/snooze-lounge.jpg","[""solo-friendly""]","[""Private sleep pods"",""Shower facilities"",""Quiet environment""]","[]",35000,180,"[""Comfort"",""Chill""]","[""solo-travelers"",""long-layovers"",""red-eye-flights""]","active"
"A&W Root Beer","aw-root-beer-t3","SIN-T3","SIN","Food","Restaurant","Nostalgic American fast food chain, famous for root beer floats","Terminal 3, Level 2, Public Area","[""Refuel"",""Quick""]","{""Monday-Sunday"":""24/7""}","$","https://cdn.terminal.plus/images/sin/aw-restaurant.jpg","[""trending"",""nostalgic""]","[""Classic root beer floats"",""24/7 service"",""Nostalgic brand""]","[]",40000,30,"[""Refuel"",""Quick""]","[""families"",""quick-bites"",""nostalgic""]","active"
"Jewel Waterfall Viewpoint","jewel-viewpoint-t3","SIN-T3","SIN","Attraction","Observation","Access point to view the famous Jewel Changi waterfall via Skytrain","Terminal 3, Link to Jewel via Skytrain","[""Explore""]","{""Monday-Sunday"":""05:00-02:30""}","Free","https://cdn.terminal.plus/images/sin/jewel-viewpoint.jpg","[""must-see"",""instagram-worthy"",""award-winner""]","[""World's tallest indoor waterfall view"",""40-meter waterfall""]","[""World's Best Airport Attraction 2020""]",250000,45,"[""Explore""]","[""everyone"",""instagram"",""first-time-visitors""]","active"
"Cultural Performances Stage","cultural-stage-t3","SIN-T3","SIN","Entertainment","Performance","Regular cultural performances showcasing Asian heritage","Terminal 3, Level 2, Transit Area","[""Explore""]","{""Performance Times"":""Variable""}","Free","https://cdn.terminal.plus/images/sin/cultural-stage.jpg","[""hidden-gem"",""cultural""]","[""Live performances"",""Cultural showcase"",""Random timings""]","[]",12000,20,"[""Explore""]","[""culture-lovers"",""families""]","active"
