id,name,vibe_tags,location_description,opening_hours
syd-t1-001,Betty's Burgers,Food;Social;Quick,"Before Security, Food Court",{'Monday-Sunday': '24/7'}
syd-t1-002,Campos Coffee,Food;Quick;Work;Relax;Comfort,"After Security, near Gate 24",{'Monday-Sunday': '24/7'}
syd-t1-003,Heineken House,Social;Food;Entertainment;Relax;Comfort,"After Security, near Gate 10",{'Monday-Sunday': '24/7'}
syd-t1-004,Kitchen by Mike,Food;Social;Quick;Comfort,"After Security, near Gate 30",{'Monday-Sunday': '24/7'}
syd-t1-005,Lilong by Taste of Shanghai,Food;Social;Quick;Comfort,"After Security, near Gate 56",{'Monday-Sunday': '24/7'}
syd-t1-006,McDonald's,Quick;Food;Comfort,"After Security, near Gates 24 and 50",{'Monday-Sunday': '24/7'}
syd-t1-007,Sahara Grill,Quick;Food;Comfort,"After Security, near Gate 10",{'Monday-Sunday': '24/7'}
syd-t1-008,SumoSalad Green on Green,Quick;Food;Healthy;Comfort,"After Security, near Gate 24",{'Monday-Sunday': '24/7'}
syd-t1-009,Sushia,Food;Social;Quick;Comfort,"After Security, near Gate 30",{'Monday-Sunday': '24/7'}
syd-t1-010,The Bistro by Wolfgang Puck,Food;Social;Premium;Quick;Comfort,"After Security, near Gate 10",{'Monday-Sunday': '24/7'}
syd-t1-011,Toby's Estate,Food;Quick;Work;Comfort,"After Security, towards Gates 50-63",{'Monday-Sunday': '24/7'}
syd-t1-012,Yo! Sushi,Food;Social;Quick;Comfort,"After Security, The Food Court",{'Monday-Sunday': '24/7'}
syd-t1-013,Heinemann Tax & Duty Free,Shopping;Luxury;Quick;Comfort,"After Security, multiple locations including near Gates 31-33",{'Monday-Sunday': '24/7'}
syd-t1-014,Louis Vuitton,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-015,Gucci,Shopping;Luxury;Quick;Comfort,"After Security, towards Gates 50-63",{'Monday-Sunday': '24/7'}
syd-t1-016,Prada,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-017,Cartier,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-018,Burberry,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-019,Bottega Veneta,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-020,Gentle Monster,Shopping;Luxury;Quick;Comfort,"After Security, Luxury Precinct",{'Monday-Sunday': '24/7'}
syd-t1-021,Rip Curl,Shopping;Fashion;Quick;Comfort,"Before Security, Food Court",{'Monday-Sunday': '24/7'}
syd-t1-022,Amcal Pharmacy,Shopping;Convenience;Quick;Comfort,"After Security, towards Gates 24-25",{'Monday-Sunday': '24/7'}
syd-t1-023,WHSmith,Shopping;Convenience;Quick;Comfort,"After Security, near Gates 10, 30, 51, and 54",{'Monday-Sunday': '24/7'}
syd-t1-024,Global Exchange,Services;Convenience;Quick;Comfort,Multiple locations before and after security,{'Monday-Sunday': '24/7'}
,Qantas International First Lounge,Relax;Quick;Comfort,"Mezzanine Level, after Customs",{'Monday-Sunday': '05:00 – 22:00'}
,Qantas International Business Lounge,Relax;Quick;Comfort,"Mezzanine Level, after Customs",{'Monday-Sunday': '05:00 – 22:00'}
,Air New Zealand Lounge,Relax;Quick;Comfort,"Level 3, near Gate 59",{'Monday-Sunday': '06:00 – 21:00'}
,Singapore Airlines SilverKris Lounge,Relax;Quick;Comfort,"Level 3, near Gate 59",{'Monday-Sunday': '05:30 – 18:00'}
,Emirates Lounge,Relax;Quick;Comfort,"Level 1, near Gate 58",{'Monday-Sunday': '04:00 – 07:20 and 16:10 – 20:40'}
,The Centurion Lounge (American Express),Relax;Quick;Comfort,"Departures Level, near Gates 50–63",{'Monday-Sunday': '06:00 – 21:00'}
